codigo;filial;rota;m-4;m-3;m-2;m-1;forecast;estoque_in;estoque_livre;compras;transferencias;estoque_total;cmv
142645;1021;1021;0;0;0;0;0;4;4;0;0;4;415.22
142645;1001;1001;0;0;0;0;0;8;0;0;0;8;168.96
142646;1003;1003;0;0;0;0;0;0;0;0;0;0;0
142647;1006;1006;0;0;0;0;0;5;5;0;0;5;260.66
142647;1002;1002;0;0;0;0;0;2;0;0;0;2;260.66
142647;1001;1001;0;0;0;0;0;0;0;0;0;0;0
142648;1036;1036;0;0;0;0;0;2;2;0;0;2;6848.84
142648;1010;1010;0;0;0;0;0;0;0;0;0;0;0
142648;1009;1009;0;0;0;0;0;0;0;0;0;0;0
142648;1003;1003;0;0;0;0;0;0;0;0;0;0;0
142648;1002;1002;0;0;0;0;0;0;0;0;0;0;0
142648;1001;1003->1001;0;0;0;0;0;0;0;0;0;0;0
142649;1036;1036;0;0;0;0;0;8;8;0;0;8;10648.93
142649;1023;1036->1023;0;0;0;0;0;0;0;0;0;0;0
142649;1010;1010;0;0;0;0;0;0;0;0;0;0;0
142649;1009;1009;0;0;0;0;0;0;0;0;0;0;0
142649;1003;1003;0;0;0;0;0;0;0;0;0;0;0
142649;1002;1002;0;0;0;0;0;0;0;0;0;0;0
142649;1001;1003->1001;0;0;0;0;0;0;0;0;0;0;0
142650;1036;1036;0;1;0;0;0;1;1;0;0;1;7834.35
142650;1010;1010;0;0;0;0;0;0;0;0;0;0;0
142650;1009;1009;0;0;0;0;0;0;0;0;0;0;0
142650;1003;1003;0;0;0;0;0;0;0;0;0;0;0
142650;1002;1002;0;0;0;0;0;0;0;0;0;0;0
142650;1001;1003->1001;0;0;0;0;0;0;0;0;0;0;0
142651;1036;1036;4;3;3;3;2;1;0;2;0;3;11750.35
142651;1023;1036->1023;0;0;0;0;0;0;0;0;0;0;0
142651;1021;1021;0;0;0;0;0;3;0;0;0;3;11669.35
142651;1010;1010;0;0;0;0;0;0;0;0;0;0;0
142651;1009;1009;0;0;0;0;0;0;0;0;0;0;0
142651;1003;1003;0;0;0;0;0;0;0;0;0;0;0
142651;1002;1002;0;0;0;0;0;0;0;0;0;0;0
142651;1001;1003->1001;0;0;0;0;0;0;0;0;0;0;0
142652;1036;1036;1;0;0;0;0;1;0;0;0;1;7834.35
142652;1010;1010;0;0;0;0;0;0;0;0;0;0;0
142652;1009;1009;0;0;0;0;0;0;0;0;0;0;0
142652;1003;1003;0;0;0;0;0;0;0;0;0;0;0
142652;1002;1002;0;0;0;0;0;0;0;0;0;0;0
142652;1001;1003->1001;0;0;0;0;0;0;0;0;0;0;0
142653;1036;1036;5;2;1;5;2;5;0;2;0;7;11751.51
142653;1023;1036->1023;0;0;0;0;0;0;0;0;0;0;0
142653;1010;1010;0;0;0;0;0;0;0;0;0;0;0
142653;1009;1009;0;0;0;0;0;0;0;0;0;0;0
142653;1003;1003;0;0;0;0;0;0;0;0;0;0;0
142653;1002;1002;0;0;0;0;0;0;0;0;0;0;0
142653;1001;1003->1001;0;0;0;0;0;0;0;0;0;0;0
142654;1036;1036;3;4;5;4;4;1;0;1;0;2;10082.76
142654;1023;1036->1023;0;0;0;0;0;0;0;0;0;0;0
142654;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142654;1010;1010;0;0;0;0;0;0;0;0;0;0;0
142654;1009;1009;0;0;0;0;0;0;0;0;0;0;0
142654;1003;1003;0;0;0;0;0;0;0;0;0;0;0
142654;1002;1002;0;0;0;0;0;0;0;0;0;0;0
142654;1001;1003->1001;0;0;0;0;0;0;0;0;0;0;0
142655;1036;1036;11;24;7;13;9;30;0;0;0;30;15564.47
142655;1024;1024;0;0;0;0;0;0;0;0;0;0;0
142655;1023;1036->1023;0;0;0;0;0;0;0;0;0;0;0
142655;1021;1021;0;0;0;0;1;3;0;0;0;3;15559.1
142655;1010;1010;0;0;0;0;0;0;0;0;0;0;0
142655;1009;1009;0;0;0;0;0;0;0;0;0;0;0
142655;1003;1003;0;0;0;0;0;0;0;0;0;0;0
142655;1002;1002;0;0;0;0;0;0;0;0;0;0;0
142655;1001;1003->1001;0;0;0;0;0;0;0;0;0;0;0
142656;1028;1003->1028;0;0;0;0;0;0;0;0;0;0;0
142656;1006;1006;0;0;0;0;0;1;1;0;0;1;892.22
142657;1030;-;0;0;116;162;0;0;0;0;0;0;0
142657;1028;-;0;0;0;0;0;75;75;0;0;75;263.95
142664;1021;1021;50;50;0;0;38;50;50;0;0;50;64.2
142668;1021;1021;0;34;20;0;20;2;2;0;0;2;27.4
142668;1006;1021->1006;0;0;0;0;0;1;1;0;0;1;27.4
142669;1021;1021;0;0;0;0;0;935;935;0;0;935;30
142670;1021;1021;0;0;0;0;0;50;50;0;0;50;30
